,month,year,vazao,data_ticks
179,5,1979,250.67,1979-5
180,6,1979,206.764,1979-6
181,7,1979,193.125,1979-7
182,8,1979,182.697,1979-8
183,9,1979,180.99900000000002,1979-9
184,10,1979,197.965,1979-10
185,11,1979,292.438,1979-11
186,12,1979,240.614,1979-12
187,1,1980,401.56,1980-1
188,2,1980,1035.117,1980-2
189,3,1980,396.55300000000005,1980-3
190,4,1980,297.214,1980-4
191,5,1980,234.708,1980-5
192,6,1980,213.97,1980-6
193,7,1980,200.13099999999997,1980-7
194,8,1980,188.456,1980-8
195,9,1980,195.653,1980-9
196,10,1980,205.28,1980-10
197,11,1980,266.325,1980-11
198,12,1980,307.452,1980-12
199,1,1981,308.83,1981-1
200,2,1981,256.187,1981-2
201,3,1981,414.67699999999996,1981-3
202,4,1981,366.57199999999995,1981-4
203,5,1981,216.71599999999998,1981-5
204,6,1981,198.632,1981-6
205,7,1981,186.363,1981-7
206,8,1981,178.99200000000002,1981-8
207,9,1981,164.801,1981-9
208,10,1981,195.368,1981-10
209,11,1981,304.79200000000003,1981-11
210,12,1981,249.917,1981-12
211,1,1982,482.08,1982-1
212,2,1982,298.54200000000003,1982-2
213,3,1982,331.07099999999997,1982-3
214,4,1982,317.873,1982-4
215,5,1982,212.773,1982-5
216,6,1982,192.227,1982-6
217,7,1982,181.88400000000001,1982-7
218,8,1982,172.515,1982-8
219,9,1982,170.862,1982-9
220,10,1982,204.12099999999998,1982-10
221,11,1982,194.893,1982-11
222,12,1982,211.80900000000003,1982-12
223,1,1983,322.209,1983-1
224,2,1983,376.31699999999995,1983-2
225,3,1983,303.283,1983-3
226,4,1983,248.137,1983-4
227,5,1983,186.207,1983-5
228,6,1983,178.26,1983-6
229,7,1983,167.977,1983-7
230,8,1983,159.485,1983-8
231,9,1983,152.648,1983-9
232,10,1983,162.148,1983-10
233,11,1983,200.523,1983-11
234,12,1983,275.529,1983-12
235,1,1984,230.261,1984-1
236,2,1984,261.243,1984-2
237,3,1984,321.526,1984-3
238,4,1984,278.08,1984-4
239,5,1984,192.793,1984-5
240,6,1984,168.577,1984-6
241,7,1984,157.487,1984-7
242,8,1984,150.624,1984-8
243,9,1984,158.72299999999998,1984-9
244,10,1984,163.81799999999998,1984-10
245,11,1984,182.75799999999998,1984-11
246,12,1984,198.137,1984-12
247,1,1985,398.68199999999996,1985-1
248,2,1985,390.24800000000005,1985-2
249,3,1985,318.098,1985-3
250,4,1985,387.19599999999997,1985-4
251,5,1985,242.97,1985-5
252,6,1985,206.738,1985-6
253,7,1985,183.136,1985-7
254,8,1985,167.18200000000002,1985-8
255,9,1985,160.266,1985-9
256,10,1985,215.515,1985-10
257,11,1985,241.28900000000002,1985-11
258,12,1985,515.765,1985-12
259,1,1986,476.87699999999995,1986-1
260,2,1986,376.106,1986-2
261,3,1986,342.481,1986-3
262,4,1986,295.845,1986-4
263,5,1986,246.102,1986-5
264,6,1986,204.755,1986-6
265,7,1986,191.85,1986-7
266,8,1986,181.625,1986-8
267,9,1986,167.178,1986-9
268,10,1986,219.329,1986-10
269,11,1986,206.17700000000002,1986-11
270,12,1986,245.321,1986-12
271,1,1987,259.613,1987-1
272,2,1987,239.579,1987-2
273,3,1987,362.026,1987-3
274,4,1987,318.09,1987-4
275,5,1987,229.253,1987-5
276,6,1987,186.06799999999998,1987-6
277,7,1987,172.035,1987-7
278,8,1987,165.66,1987-8
279,9,1987,155.011,1987-9
280,10,1987,174.748,1987-10
281,11,1987,257.612,1987-11
282,12,1987,298.983,1987-12
283,1,1988,274.334,1988-1
284,2,1988,300.32,1988-2
285,3,1988,367.603,1988-3
286,4,1988,282.685,1988-4
287,5,1988,213.09900000000002,1988-5
288,6,1988,187.995,1988-6
289,7,1988,170.32299999999998,1988-7
290,8,1988,158.954,1988-8
291,9,1988,148.351,1988-9
292,10,1988,166.425,1988-10
293,11,1988,181.521,1988-11
294,12,1988,316.634,1988-12
295,1,1989,240.43,1989-1
296,2,1989,274.684,1989-2
297,3,1989,342.371,1989-3
298,4,1989,308.255,1989-4
299,5,1989,258.647,1989-5
300,6,1989,194.96099999999998,1989-6
301,7,1989,181.669,1989-7
302,8,1989,166.34099999999998,1989-8
303,9,1989,160.886,1989-9
304,10,1989,163.27700000000002,1989-10
305,11,1989,225.051,1989-11
306,12,1989,511.51,1989-12
307,1,1990,362.915,1990-1
308,2,1990,331.535,1990-2
309,3,1990,321.522,1990-3
310,4,1990,265.473,1990-4
311,5,1990,209.31799999999998,1990-5
312,6,1990,183.53400000000002,1990-6
313,7,1990,175.545,1990-7
314,8,1990,159.483,1990-8
315,9,1990,163.614,1990-9
316,10,1990,177.774,1990-10
317,11,1990,189.247,1990-11
318,12,1990,228.25,1990-12
319,1,1991,394.13699999999994,1991-1
320,2,1991,302.004,1991-2
321,3,1991,314.024,1991-3
322,4,1991,280.765,1991-4
323,5,1991,213.334,1991-5
324,6,1991,179.265,1991-6
325,7,1991,165.537,1991-7
326,8,1991,156.745,1991-8
327,9,1991,152.236,1991-9
328,10,1991,148.452,1991-10
329,11,1991,221.706,1991-11
330,12,1991,226.079,1991-12
331,1,1992,327.76,1992-1
332,2,1992,487.233,1992-2
333,3,1992,214.71900000000002,1992-3
334,4,1992,240.433,1992-4
335,5,1992,192.75,1992-5
336,6,1992,165.578,1992-6
337,7,1992,156.502,1992-7
338,8,1992,147.175,1992-8
339,9,1992,144.94899999999998,1992-9
340,10,1992,149.253,1992-10
341,11,1992,213.359,1992-11
342,12,1992,277.17900000000003,1992-12
343,1,1993,214.88099999999997,1993-1
344,2,1993,277.351,1993-2
345,3,1993,233.274,1993-3
346,4,1993,238.99200000000002,1993-4
347,5,1993,193.55900000000003,1993-5
348,6,1993,153.44,1993-6
349,7,1993,142.457,1993-7
350,8,1993,135.50799999999998,1993-8
351,9,1993,142.377,1993-9
352,10,1993,162.02700000000002,1993-10
353,11,1993,163.484,1993-11
354,12,1993,226.02599999999998,1993-12
355,1,1994,265.67900000000003,1994-1
356,2,1994,271.006,1994-2
357,3,1994,340.22,1994-3
358,4,1994,280.154,1994-4
